Site,Treatment,Plot,Trap,Species,Family,Growthform,Dispersalmode,SuccessionalStage,SeedSize,seedsSum,seedSizeCat,Seed_deposition_rate
JG,P,D,1,LIP_MYR,Verbenaceae,CT,Wind-dispersed,Early,1,15,<5 mm trees,20
JG,P,D,1,MIC_TRI,Melastomataceae,CT,Animal-dispersed,Early,1,7,<5 mm trees,9.333333333
JG,P,D,1,PAL_PAD,Rubiaceae,UT,Animal-dispersed,Both,1,1,<5 mm trees,1.333333333
JG,P,D,1,RUB_URT,Rosaceae,Shrub,Animal-dispersed,Early,1,10,shrubs,13.33333333
JG,P,D,1,SOL_NUD,Solanaceae,Shrub,Animal-dispersed,Early,1,1,shrubs,1.333333333
JG,P,D,1,SOL_TOR,Solanaceae,Shrub,Animal-dispersed,Early,1,1,shrubs,1.333333333
JG,P,D,1,VER_ARB,Asteraceae,Shrub,Wind-dispersed,Early,NA,33,shrubs,44
JG,P,D,1,VER_PAT,Asteraceae,Shrub,Wind-dispersed,Early,NA,1,shrubs,1.333333333
JG,P,D,1,VER_TUR,Asteraceae,Shrub,Wind-dispersed,Early,NA,4,shrubs,5.333333333
JG,P,D,1,VIS_BAC,Hypericaceae,UT,Animal-dispersed,Early,1,2,<5 mm trees,2.666666667
JG,P,D,2.5,BAC_TRI,Asteraceae,Shrub,Wind-dispersed,Early,NA,20,shrubs,26.66666667
JG,P,D,2.5,CEC_OBT,Urticaceae,CT,Animal-dispersed,Early,1,10,<5 mm trees,13.33333333
JG,P,D,2.5,CEC_PEL,Urticaceae,CT,Animal-dispersed,Both,1,6,<5 mm trees,8
JG,P,D,2.5,HEL_APP,Malvaceae,CT,Wind-dispersed,Early,1,5,<5 mm trees,6.666666667
JG,P,D,2.5,HET_VIT,Asteraceae,Shrub,Wind-dispersed,Early,NA,14,shrubs,18.66666667
JG,P,D,2.5,KOA_PIT,Asteraceae,CT,Wind-dispersed,Early,1,2,<5 mm trees,2.666666667
JG,P,D,2.5,LIP_MYR,Verbenaceae,CT,Wind-dispersed,Early,1,10,<5 mm trees,13.33333333
JG,P,D,2.5,MIC_TRI,Melastomataceae,CT,Animal-dispersed,Early,1,1,<5 mm trees,1.333333333
