Site,Treatment,Plot,Trap,Species,Family,Growthform,Dispersalmode,SuccessionalStage,SeedSize,seedsSum,seedSizeCat,Seed_deposition_rate
JG,P,A,0,BAC_TRI,Asteraceae,Shrub,Wind-dispersed,Early,NA,162,shrubs,216
JG,P,A,0,CEC_OBT,Urticaceae,CT,Animal-dispersed,Early,1,24,<5 mm trees,32
JG,P,A,0,CEC_PEL,Urticaceae,CT,Animal-dispersed,Both,1,6,<5 mm trees,8
JG,P,A,0,DEN_SES,Araliaceae,CT,Animal-dispersed,Both,1,1,<5 mm trees,1.333333333
JG,P,A,0,FIC_COL,Moraceae,CT,Animal-dispersed,Both,1,1,<5 mm trees,1.333333333
JG,P,A,0,FIC_HAR,Moraceae,CT,Animal-dispersed,Both,1,3,<5 mm trees,4
JG,P,A,0,GON_ROS,Rubiaceae,Shrub,Animal-dispersed,Early,1,2,shrubs,2.666666667
JG,P,A,0,HAM_APP,Malvaceae,CT,Animal-dispersed,Early,1,1,<5 mm trees,1.333333333
JG,P,A,0,HEL_APP,Malvaceae,CT,Wind-dispersed,Early,1,8,<5 mm trees,10.66666667
JG,P,A,0,HET_VIT,Asteraceae,Shrub,Wind-dispersed,Early,NA,26,shrubs,34.66666667
JG,P,A,0,JUG_NEO,Juglandaceae,CT,Animal-dispersed,Late,4,1,>10 mm trees,1.333333333
JG,P,A,0,LIP_MYR,Verbenaceae,CT,Wind-dispersed,Early,1,128,<5 mm trees,170.6666667
JG,P,A,0,MIC_TRI,Melastomataceae,CT,Animal-dispersed,Early,1,25,<5 mm trees,33.33333333
JG,P,A,0,MON_PIT,Polygalaceae,Shrub,Animal-dispersed,Early,1,1,shrubs,1.333333333
JG,P,A,0,PAL_PAD,Rubiaceae,UT,Animal-dispersed,Both,1,1,<5 mm trees,1.333333333
JG,P,A,0,PSI_GUA,Myrtaceae,CT,Animal-dispersed,Early,1,2,<5 mm trees,2.666666667
JG,P,A,0,SOL_ERY,Solanaceae,Shrub,Animal-dispersed,Early,1,3,shrubs,4
JG,P,A,0,TER_AMA,Combretaceae,CT,Wind-dispersed,Late,1,1,<5 mm trees,1.333333333
JG,P,A,0,VER_ARB,Asteraceae,Shrub,Wind-dispersed,Early,NA,569,shrubs,758.6666667
JG,P,A,0,VER_PAT,Asteraceae,Shrub,Wind-dispersed,Early,NA,3,shrubs,4
JG,P,A,0,VER_TUR,Asteraceae,Shrub,Wind-dispersed,Early,NA,2,shrubs,2.666666667
JG,P,A,0,ZEX_VIR,Asteraceae,Shrub,Wind-dispersed,Early,NA,39,shrubs,52
JG,P,A,3,BAC_TRI,Asteraceae,Shrub,Wind-dispersed,Early,NA,197,shrubs,262.6666667
JG,P,A,3,CEC_OBT,Urticaceae,CT,Animal-dispersed,Early,1,6,<5 mm trees,8
JG,P,A,3,CEC_PEL,Urticaceae,CT,Animal-dispersed,Both,1,2,<5 mm trees,2.666666667
JG,P,A,3,FIC_HAR,Moraceae,CT,Animal-dispersed,Both,1,35,<5 mm trees,46.66666667
JG,P,A,3,HEL_APP,Malvaceae,CT,Wind-dispersed,Early,1,4,<5 mm trees,5.333333333
JG,P,A,3,HET_VIT,Asteraceae,Shrub,Wind-dispersed,Early,NA,6,shrubs,8
JG,P,A,3,KOA_PIT,Asteraceae,CT,Wind-dispersed,Early,1,6,<5 mm trees,8
JG,P,A,3,LIP_MYR,Verbenaceae,CT,Wind-dispersed,Early,1,91,<5 mm trees,121.3333333
JG,P,A,3,MIC_TRI,Melastomataceae,CT,Animal-dispersed,Early,1,5,<5 mm trees,6.666666667
JG,P,A,3,MON_PIT,Polygalaceae,Shrub,Animal-dispersed,Early,1,1,shrubs,1.333333333
JG,P,A,3,PAL_PAD,Rubiaceae,UT,Animal-dispersed,Both,1,2,<5 mm trees,2.666666667
JG,P,A,3,VER_ARB,Asteraceae,Shrub,Wind-dispersed,Early,NA,332,shrubs,442.6666667
JG,P,A,3,VER_TUR,Asteraceae,Shrub,Wind-dispersed,Early,NA,18,shrubs,24
JG,P,A,3,ZEX_VIR,Asteraceae,Shrub,Wind-dispersed,Early,NA,18,shrubs,24
JG,P,A,7.5,BAC_TRI,Asteraceae,Shrub,Wind-dispersed,Early,NA,151,shrubs,201.3333333
JG,P,A,7.5,CEC_OBT,Urticaceae,CT,Animal-dispersed,Early,1,32,<5 mm trees,42.66666667
JG,P,A,7.5,CEC_PEL,Urticaceae,CT,Animal-dispersed,Both,1,9,<5 mm trees,12
JG,P,A,7.5,DEN_SES,Araliaceae,CT,Animal-dispersed,Both,1,1,<5 mm trees,1.333333333
JG,P,A,7.5,FIC_COL,Moraceae,CT,Animal-dispersed,Both,1,12,<5 mm trees,16
JG,P,A,7.5,FIC_HAR,Moraceae,CT,Animal-dispersed,Both,1,16,<5 mm trees,21.33333333
JG,P,A,7.5,HAM_APP,Malvaceae,CT,Animal-dispersed,Early,1,1,<5 mm trees,1.333333333
JG,P,A,7.5,HEL_APP,Malvaceae,CT,Wind-dispersed,Early,1,4,<5 mm trees,5.333333333
JG,P,A,7.5,HET_VIT,Asteraceae,Shrub,Wind-dispersed,Early,NA,3,shrubs,4
JG,P,A,7.5,ING_EDU,Fabaceae,CT,Animal-dispersed,Late,3,1,>10 mm trees,1.333333333
JG,P,A,7.5,KOA_PIT,Asteraceae,CT,Wind-dispersed,Early,1,1,<5 mm trees,1.333333333
JG,P,A,7.5,LIP_MYR,Verbenaceae,CT,Wind-dispersed,Early,1,72,<5 mm trees,96
JG,P,A,7.5,MIC_THE,Melastomataceae,CT,Animal-dispersed,Early,1,275,<5 mm trees,366.6666667
JG,P,A,7.5,MIC_TRI,Melastomataceae,CT,Animal-dispersed,Early,1,8,<5 mm trees,10.66666667
JG,P,A,7.5,PAL_PAD,Rubiaceae,UT,Animal-dispersed,Both,1,1,<5 mm trees,1.333333333
JG,P,A,7.5,RUB_URT,Rosaceae,Shrub,Animal-dispersed,Early,1,1,shrubs,1.333333333
JG,P,A,7.5,SOL_TOR,Solanaceae,Shrub,Animal-dispersed,Early,1,1,shrubs,1.333333333
JG,P,A,7.5,VER_ARB,Asteraceae,Shrub,Wind-dispersed,Early,NA,151,shrubs,201.3333333
JG,P,A,7.5,VER_PAT,Asteraceae,Shrub,Wind-dispersed,Early,NA,7,shrubs,9.333333333
JG,P,A,7.5,ZEX_VIR,Asteraceae,Shrub,Wind-dispersed,Early,NA,2,shrubs,2.666666667
JG,P,B,4.5,BAC_TRI,Asteraceae,Shrub,Wind-dispersed,Early,NA,44,shrubs,58.66666667
JG,P,B,4.5,CEC_OBT,Urticaceae,CT,Animal-dispersed,Early,1,8,<5 mm trees,10.66666667
JG,P,B,4.5,CEC_PEL,Urticaceae,CT,Animal-dispersed,Both,1,2,<5 mm trees,2.666666667
JG,P,B,4.5,DEN_SES,Araliaceae,CT,Animal-dispersed,Both,1,1,<5 mm trees,1.333333333
JG,P,B,4.5,HEL_APP,Malvaceae,CT,Wind-dispersed,Early,1,4,<5 mm trees,5.333333333
JG,P,B,4.5,HET_VIT,Asteraceae,Shrub,Wind-dispersed,Early,NA,1,shrubs,1.333333333
JG,P,B,4.5,LIP_MYR,Verbenaceae,CT,Wind-dispersed,Early,1,18,<5 mm trees,24
JG,P,B,4.5,MIC_TRI,Melastomataceae,CT,Animal-dispersed,Early,1,1,<5 mm trees,1.333333333
JG,P,B,4.5,PAL_PAD,Rubiaceae,UT,Animal-dispersed,Both,1,4,<5 mm trees,5.333333333
JG,P,B,4.5,TER_AMA,Combretaceae,CT,Wind-dispersed,Late,1,1,<5 mm trees,1.333333333
JG,P,B,4.5,VER_ARB,Asteraceae,Shrub,Wind-dispersed,Early,NA,17,shrubs,22.66666667
JG,P,B,4.5,VER_PAT,Asteraceae,Shrub,Wind-dispersed,Early,NA,1,shrubs,1.333333333
JG,P,B,4.5,VER_TUR,Asteraceae,Shrub,Wind-dispersed,Early,NA,1,shrubs,1.333333333
JG,P,B,4.5,ZEX_VIR,Asteraceae,Shrub,Wind-dispersed,Early,NA,1,shrubs,1.333333333
JG,P,B,7,ALC_LAT,Euphorbiaceae,CT,Animal-dispersed,Early,1,1,<5 mm trees,1.333333333
JG,P,B,7,BAC_TRI,Asteraceae,Shrub,Wind-dispersed,Early,NA,34,shrubs,45.33333333
JG,P,B,7,CEC_OBT,Urticaceae,CT,Animal-dispersed,Early,1,12,<5 mm trees,16
JG,P,B,7,CEC_PEL,Urticaceae,CT,Animal-dispersed,Both,1,12,<5 mm trees,16
JG,P,B,7,DEN_SES,Araliaceae,CT,Animal-dispersed,Both,1,1,<5 mm trees,1.333333333
JG,P,B,7,FIC_HAR,Moraceae,CT,Animal-dispersed,Both,1,75,<5 mm trees,100
JG,P,B,7,HEL_APP,Malvaceae,CT,Wind-dispersed,Early,1,5,<5 mm trees,6.666666667
JG,P,B,7,HET_VIT,Asteraceae,Shrub,Wind-dispersed,Early,NA,1,shrubs,1.333333333
JG,P,B,7,ING_EDU,Fabaceae,CT,Animal-dispersed,Late,3,2,>10 mm trees,2.666666667
JG,P,B,7,LIP_MYR,Verbenaceae,CT,Wind-dispersed,Early,1,70,<5 mm trees,93.33333333
JG,P,B,7,MIC_THE,Melastomataceae,CT,Animal-dispersed,Early,1,40,<5 mm trees,53.33333333
JG,P,B,7,MIC_TRI,Melastomataceae,CT,Animal-dispersed,Early,1,1,<5 mm trees,1.333333333
JG,P,B,7,PAL_PAD,Rubiaceae,UT,Animal-dispersed,Both,1,4,<5 mm trees,5.333333333
JG,P,B,7,SOL_TOR,Solanaceae,Shrub,Animal-dispersed,Early,1,21,shrubs,28
JG,P,B,7,VER_ARB,Asteraceae,Shrub,Wind-dispersed,Early,NA,15,shrubs,20
JG,P,B,7.5,BAC_TRI,Asteraceae,Shrub,Wind-dispersed,Early,NA,24,shrubs,32
JG,P,B,7.5,CEC_OBT,Urticaceae,CT,Animal-dispersed,Early,1,12,<5 mm trees,16
JG,P,B,7.5,CEC_PEL,Urticaceae,CT,Animal-dispersed,Both,1,2,<5 mm trees,2.666666667
